Entry ID,Title,Research Category,Source Type,Reliability,Summary,Notes,Citation,Link
R-001,Hemp and Sustainability,Sustainability,Book,Published Source,Overview of sustainability impacts and applications of hemp.,,"Dhondt, F., & Muthu, S. S. (2021). Hemp and sustainability. Springer Nature Singapore.",
R-002,Water and Nitrogen Use Efficiencies of Hemp,Sustainability,Academic Paper,Peer Reviewed,Hemp demonstrated efficient water and nitrogen use under canopy modeling.,,"Tang, K., Fracasso, A., Struik, P. C., Yin, X., & Amaducci, S. (2018). Water- and nitrogen-use efficiencies of hemp (Cannabis sativa L.) based on whole-canopy measurements and modeling. Frontiers in Plant Science, 9, 951.",
R-003,Water Consumption of Industrial Hemp,Sustainability,Article,Published Source,Discusses estimated water requirements of industrial hemp production.,,Water California. (n.d.). Water consumption of industrial hemp. ,https://water-ca.org/wp-content/uploads/2.-Water-consumption-of-industrial-hemp-1.pdf ?
R-004,Cotton Farming and Water Scarcity,Sustainability,Website,Unverified,Describes water demands and scarcity concerns associated with cotton production.,,H2O Global News. (n.d.). Cotton farming and water scarcity.,https://h2oglobalnews.com/cotton-farming-and-water-scarcity/
R-005,Hemp Fibre Properties and Processing Target Textile: A Review,Material Properties,Academic Paper,Peer Reviewed,Review of hemp fiber characteristics and textile processing methods.,,"Zimniewska, M. (2022). Hemp fibre properties and processing target textile: A review. Materials, 15(5), 1901. ",https://pmc.ncbi.nlm.nih.gov/articles/PMC8911747/ 
R-006,Hemp: From Field to Fiber—A Review,Material Properties,Academic Paper,Peer Reviewed,Reviews cultivation through textile production pathways of hemp.,,"Mariz, J., Guise, C., Silva, T. L., Rodrigues, L., & Silva, C. J. (2024). Hemp: From field to fiber—A review. Textiles, 4(2), 165–182. ",https://www.mdpi.com/2673-7248/4/2/11 
R-007,Hemp Fibers: Old Fibers – New Applications,Material Properties,Book,Published Source,Historical and emerging applications of hemp fibers in textiles.,,Historical and emerging applications of hemp fibers in textiles.,
R-008,The Textile Applications of Hemp,Quiltmaking,Website,Published Source,Overview of textile uses and applications of hemp materials.,,Alliance for European Flax-Linen & Hemp. (n.d.). The textile applications of hemp.,https://allianceflaxlinenhemp.eu/en/textile-applications-hemp
R-009,Sewing with Hemp Fabrics,Quiltmaking,Website,Published Source,Discusses practical use and handling of hemp fabrics in sewing projects.,,The Sewing Directory. (n.d.). Sewing with hemp fabrics.,https://www.thesewingdirectory.co.uk/sewing-with-hemp-fabrics/ 
R-010,A Critical Evaluation of Hemp as a Sustainable Solution in Garment Making,Sustainability,Academic Paper,Peer Reviewed,Evaluates hemp as a sustainable alternative for textile manufacturing.,,"Karypidis, M., Papadaki, A., & Stalika, A. (2023). A critical evaluation of the use of hemp as a sustainable solution in garment making.",
R-011,Herbicide Use and Weed Management Strategies in Hemp Cultivation,Sustainability,Academic Paper,Peer Reviewed,Discusses cultivation challenges and weed management practices.,,"Kaur, N., Kumar, A., Malik, T., et al. (2025). Herbicide use and weed management strategies in hemp cultivation. Journal of Cannabis Research, 7, 27. ",https://pmc.ncbi.nlm.nih.gov/articles/PMC12083118/ 
R-012,249 Uses of Hemp,Historical Context,Website,Published Source,Catalog of industrial and commercial hemp applications.,,"The Hemp Foundation. (2025, April 8). 249 uses of hemp.",https://hempfoundation.net/249-uses-of-hemp/ 
R-013,Pesticide Exposure and Health Impacts,Sustainability,Website,Published Source,Discusses pesticide exposure and associated health risks.,,World Health Organization. (n.d.). Pesticide exposure and health impacts.,https://www.who.int/news-room/fact-sheets/detail/pesticide-residues-in-food 
R-014,Cotton Water Usage and Environmental Impact,Sustainability,Website,Published Source,Overview of cotton production impacts and water usage concerns.,,World Wildlife Fund. (n.d.). Cotton water usage and environmental impact.,https://www.worldwildlife.org/industries/cotton 
R-015,Labor Conditions and Forced Labor in Cotton Production,Historical Context,Website,Published Source,Information on labor conditions and forced labor concerns in cotton production.,,International Labour Organization. (n.d.). ,https://www.ilo.org 
R-016,Sustainable Fiber Comparisons and Hemp Research,Sustainability,Website,Published Source,General information on sustainable fibers and hemp textiles.,,Textile Exchange. (n.d.).,https://textileexchange.org 
R-017,Regional Hemp Research and Applications,Historical Context,Website,Published Source,Regional hemp cultivation and application research.,,Oregon State University. (n.d.). OSU Hemp Research.,https://agsci.oregonstate.edu/hemp
R-018,Environmental Justice and the Aral Sea,Historical Context,Report,Published Source,Report discussing environmental impacts related to cotton and the Aral Sea.,,Environmental Justice Foundation. (n.d.). ,https://ejfoundation.org/resources/downloads/EJF_Aral_report_cotton_net_ok.pdf 
R-019,Empire of Cotton: A Global History,Historical Context,Book,Published Source,Historical analysis of cotton and global economic impacts.,,"Beckert, S. (2015). Empire of Cotton: A Global History. Vintage.",
R-020,Prices for Genetically Modified Seeds,Economic Impact,Article,Published Source,GMO cotton seed prices increased substantially over time.,,"Fuglie, K. (2023). Prices for genetically modified seeds have risen much faster than non-GM seeds. Economic Research Service. ",https://www.ers.usda.gov/data-products/charts-of-note/chart-detail?chartId=106785 
R-021,Soviet Cotton Threatens a Region’s Sea and its Children,Historical Context,Article,Published Source,Early reporting on cotton-related environmental impacts in the Aral Sea region.,,"Unknown. (1989, November 18). Soviet cotton threatens a region’s sea and its children. New Scientist. ",https://www.newscientist.com/article/mg12416910-800-soviet-cotton-threatens-a-regions-sea-and-its-children/ 
R-022,World of Change: Shrinking Aral Sea,Historical Context,Article,Published Source,Satellite and historical analysis of Aral Sea shrinkage.,,"NASA. (2026, March 5). World of change: Shrinking Aral Sea. ",https://science.nasa.gov/earth/earth-observatory/world-of-change/aral-sea/ 
